City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Palu,ID,-0.8917,119.8707,76.55,96,92,2.3,light rain
250,Berlevag,NO,70.8578,29.0864,42.24,75,69,16.89,broken clouds
251,Nome,US,64.5011,-165.4064,33.87,86,90,6.91,light snow
252,Faya,SA,18.3851,42.4509,75.72,57,13,6.49,few clouds
253,Dzaoudzi,YT,-12.7887,45.2699,80.49,74,90,25.32,overcast clouds
254,Kieta,PG,-6.2167,155.6333,78.15,85,20,5.41,few clouds
255,Khash,IR,28.2211,61.2158,88.47,4,0,8.57,clear sky
256,Stornoway,GB,58.2093,-6.3865,58.93,88,75,12.66,broken clouds
257,Khirkiya,IN,22.1674,76.8605,88.0,49,97,4.63,overcast clouds
258,Batagay-Alyta,RU,67.8006,130.4114,37.36,96,100,7.74,moderate rain
259,Beloha,MG,-25.1667,45.05,64.92,74,63,10.58,broken clouds
260,Tura,IN,25.5198,90.2201,74.66,95,76,7.09,light rain
261,Agadez,NE,19.75,10.25,104.65,8,49,10.4,scattered clouds
262,Liepaja,LV,56.5419,21.0367,69.78,40,4,6.91,clear sky
263,Avera,US,33.194,-82.5271,87.67,58,100,5.44,overcast clouds
264,Kilindoni,TZ,-7.9139,39.6668,79.61,73,53,21.18,light rain
265,Ewa Beach,US,21.3156,-158.0072,76.08,68,1,11.01,clear sky
266,Kurumkan,RU,54.3,110.3,65.79,36,42,1.95,scattered clouds
267,Barrow,US,71.2906,-156.7887,30.22,93,90,10.36,mist
268,Venice,US,27.0998,-82.4543,89.06,68,1,8.01,clear sky
269,Cabedelo,BR,-6.9811,-34.8339,84.87,68,16,14.25,few clouds
270,Saint-Augustin,CA,51.226,-58.6502,51.28,85,99,8.75,overcast clouds
271,Hambantota,LK,6.1241,81.1185,79.57,83,52,15.08,broken clouds
272,Olinda,BR,-8.0089,-34.8553,80.33,65,40,10.18,scattered clouds
273,Alamos,MX,27.0167,-108.9333,85.71,17,0,4.52,clear sky
274,Parfino,RU,57.9731,31.6481,66.11,66,29,5.32,scattered clouds
275,Saint Anthony,US,45.0205,-93.218,90.1,42,1,3.0,clear sky
276,Sarkikaraagac,TR,38.0794,31.3664,56.48,48,65,6.64,broken clouds
277,Olafsvik,IS,64.8945,-23.7142,47.89,89,100,6.33,light rain
278,Ilulissat,GL,69.2167,-51.1,42.82,65,1,8.05,clear sky
279,Narsaq,GL,60.9167,-46.05,61.02,59,98,7.74,overcast clouds
280,Lagos,NG,6.5833,3.75,82.72,90,98,5.19,moderate rain
281,Dwarka,IN,22.2394,68.9678,85.19,69,34,14.41,scattered clouds
282,Alofi,NU,-19.0595,-169.9187,71.49,78,82,10.36,broken clouds
283,Kysyl-Syr,RU,63.8986,122.7617,43.45,89,100,3.11,overcast clouds
284,Kiruna,SE,67.8557,20.2251,59.92,36,88,16.11,overcast clouds
285,Sitka,US,57.0531,-135.33,49.89,81,75,4.61,broken clouds
286,Mandan,US,46.8267,-100.8896,91.38,37,1,9.22,clear sky
287,Yarada,IN,17.65,83.2667,86.32,84,20,13.47,few clouds
288,Port-Cartier,CA,50.0334,-66.8654,51.93,98,100,1.74,overcast clouds
289,Mocuba,MZ,-16.8392,36.9856,61.25,94,63,4.18,broken clouds
290,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,90.75,28,42,9.44,scattered clouds
291,Jasper,US,37.2001,-94.3502,80.06,61,1,5.01,clear sky
292,Pangoa,PE,-12.1167,-73.0,83.73,53,27,4.47,scattered clouds
293,Ancud,CL,-41.8697,-73.8203,49.53,70,72,3.22,light rain
294,Rocha,UY,-34.4833,-54.3333,58.69,98,100,8.9,light rain
295,Masuda,JP,34.6667,131.85,64.35,81,100,5.93,light rain
296,Yellowknife,CA,62.456,-114.3525,61.32,63,75,3.44,broken clouds
297,Marovoay,MG,-16.1,46.6333,80.74,73,33,3.49,scattered clouds
298,Eureka,US,40.8021,-124.1637,63.19,62,84,5.99,broken clouds
299,Mount Isa,AU,-20.7333,139.5,60.57,44,75,10.36,broken clouds
300,College,US,64.8569,-147.8028,56.08,67,40,3.44,scattered clouds
301,Luwuk,ID,-0.9516,122.7875,76.82,81,96,4.65,overcast clouds
302,Balkanabat,TM,39.5108,54.3671,79.83,41,0,8.61,clear sky
303,Moerai,PF,-22.4333,-151.3333,74.97,83,100,12.03,light rain
304,Yuancheng,CN,36.652,107.7896,68.52,22,5,5.95,clear sky
305,Poum,NC,-20.2333,164.0167,73.45,80,100,23.15,overcast clouds
306,Champerico,GT,14.3,-91.9167,93.34,68,100,6.51,overcast clouds
307,Guatire,VE,10.4762,-66.5427,82.9,93,99,3.67,overcast clouds
308,Izazi,TZ,-7.2,35.7333,75.34,56,86,7.78,overcast clouds
309,Paramonga,PE,-10.6667,-77.8333,69.1,72,51,9.91,broken clouds
310,Kastamonu,TR,41.5,33.6667,49.98,83,97,2.28,overcast clouds
311,Bonavista,CA,48.6499,-53.1147,50.0,78,93,9.51,overcast clouds
312,Neiafu,TO,-18.65,-173.9833,75.56,69,42,17.29,scattered clouds
313,Sur,OM,22.5667,59.5289,89.96,57,0,11.77,clear sky
314,Depew,US,42.904,-78.6923,84.56,63,75,8.01,broken clouds
315,Hirado,JP,33.3597,129.5531,65.35,88,99,9.73,overcast clouds
316,Balikpapan,ID,-1.2675,116.8289,77.85,87,40,4.12,scattered clouds
317,Aransas Pass,US,27.9095,-97.15,85.21,75,40,4.0,scattered clouds
318,Taoudenni,ML,22.6783,-3.9836,115.99,4,10,3.29,clear sky
319,Rosarito,MX,32.3333,-117.0333,71.08,70,23,6.71,few clouds
320,Sudak,UA,44.85,34.9667,64.06,73,93,4.76,overcast clouds
321,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,100,90,17.22,light rain
322,Miandrivazo,MG,-19.5167,45.4667,70.07,82,25,1.25,scattered clouds
323,Arlit,NE,18.7369,7.3853,110.03,5,78,15.86,broken clouds
324,Hue,VN,16.4667,107.6,80.71,83,20,4.23,few clouds
325,Yerofey Pavlovich,RU,53.9667,121.9667,50.76,63,3,2.28,clear sky
326,Atagay,RU,55.1033,99.3875,49.5,97,100,13.6,moderate rain
327,Tuatapere,NZ,-46.1333,167.6833,39.92,89,6,3.85,clear sky
328,Sydney,AU,-33.8679,151.2073,49.3,76,0,5.99,clear sky
329,Lorengau,PG,-2.0226,147.2712,80.29,80,74,4.07,broken clouds
330,Hwange,ZW,-18.3693,26.5019,61.02,37,0,2.08,clear sky
331,Hirara,JP,24.8,125.2833,82.02,87,100,26.73,light rain
332,Vila Do Maio,CV,15.1333,-23.2167,83.19,86,8,18.81,clear sky
333,Evensk,RU,61.95,159.2333,41.29,95,100,3.58,light rain
334,Clyde River,CA,70.4692,-68.5914,30.43,93,90,14.97,light snow
335,Caramay,PH,10.1815,119.236,80.38,85,76,2.3,broken clouds
336,Tecoanapa,MX,16.5167,-98.75,87.08,60,94,3.76,overcast clouds
337,Hualmay,PE,-11.0964,-77.6139,69.48,69,39,10.18,scattered clouds
338,Culebra,PR,18.303,-65.301,87.89,76,100,20.87,overcast clouds
339,Massakory,TD,12.996,15.7293,95.31,34,78,4.83,broken clouds
340,Bac Lieu,VN,9.285,105.7244,83.25,77,100,9.73,overcast clouds
341,The Valley,AI,18.217,-63.0578,87.66,70,20,18.41,few clouds
342,Naze,JP,28.3667,129.4833,72.27,89,100,4.83,light rain
343,Jumla,NP,29.2747,82.1838,56.39,84,66,2.82,broken clouds
344,Half Moon Bay,US,37.4636,-122.4286,69.33,68,20,1.01,haze
345,Rodos,GR,36.4408,28.2225,83.82,44,20,13.0,few clouds
346,Xining,CN,36.6167,101.7667,59.5,35,100,1.88,overcast clouds
347,Shingu,JP,33.7333,135.9833,66.88,89,100,5.35,overcast clouds
